Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
KflDSgz4KIc,Jumbo Tomahawk for David Beckham,2025-04-30,Short,56S,56,1767983,78861,406
3tSvjeJZjGI,I Ranked the Best BBQ from EVERY Country,2025-04-23,Short,2M10S,130,5541488,337376,4887
Q3QiyVSaPZE,I Challenged America’s Best Brisket,2025-04-22,Short,1M,60,3740366,171907,658
l1rAb8iNPcQ,Grinding Every Animal Into One Burger @NickDiGiovanni,2025-04-21,Short,26S,26,6046973,194990,1811
pKuguDpmti4,I Cooked the World’s RAREST Steaks,2025-04-11,Short,3M,180,5429310,294542,2033
gDfyZaujK6E,I Found Bacon in This Fish…,2025-03-26,Short,36S,36,6923688,320659,909
OU4S0FSZkoI,I Covered Lamb in Jam,2025-03-24,Short,32S,32,707149,47591,304
P9NbFXKQo-8,Cowboy Butter Lobster Roll,2025-03-19,Short,40S,40,1046208,67329,399
Aw5vc8jGQCY,"$50 vs $300 vs $1,000 Brisket",2025-03-13,Short,1M6S,66,19494951,800944,2706
sMtfXxOt-3o,Citrus Dry Aged Mahi Mahi,2025-03-04,Short,50S,50,2051088,147891,650
vzXULTmvWnk,I Cooked the World’s CRAZIEST Eggs,2025-02-25,Short,2M5S,125,23111115,1674219,10563
4UEzMoGvkXQ,"1,000 Garlic Clove Lamb Leg",2025-02-19,Short,34S,34,3847960,240968,1088
vGx5zex1YCY,7 Day Caramel Soaked Ribs,2025-02-19,Short,31S,31,1293836,96846,351
lp_Q393jAfw,I Cooked 100lbs of Protein Pt 3,2025-02-13,Short,1M,60,1268630,92406,505
AByKJ0-wpEs,I Cooked A 70lb Cow Leg,2025-02-12,Short,1M1S,61,3876406,244075,770
ig1rlhB5h1Q,I stole a whole cow leg pt 1…,2025-02-11,Short,44S,44,3308531,170951,206
w4jDx6Wenjw,World’s WORST Tasting Tuna,2025-02-10,Short,47S,47,3093839,156846,1251
QDBn3_WwbQo,If you find yourself with 20 lobsters…,2025-02-02,Short,31S,31,4651740,332122,2516
d4Z4HnDTnSA,The Lobster Hot Dog,2025-01-24,Short,37S,37,1332967,118192,500
kGS_WfpU82Q,When steak put me in the hospital…,2025-01-14,Short,1M1S,61,6636538,492660,1291
39-CvROyYUQ,7 Day Molasses Cured Tomahawk,2025-01-13,Short,41S,41,1958105,144269,512
UwfDi4tT5Og,Jalapeño Dry Aged Wagyu A5,2024-12-28,Short,1M3S,63,3169855,203817,800
jPTERm5G4vM,Deep Fried Prime Rib,2024-12-24,Short,34S,34,1599034,112154,320
OuM4JtRrIEI,Prime Rib Texas Toast Sandwich,2024-12-20,Short,43S,43,803720,73118,204
5QuFBdoHReA,The Perfect Prime Rib,2024-12-17,Short,1M11S,71,1759512,107100,615
7ED6rGme02E,The Brisket Football (Cooked in Clay),2024-12-16,Short,1M4S,64,19322569,1156796,2607
zAu4PRyKbu0,Panda Express Ran Out of Chicken…,2024-12-13,Short,33S,33,692476,55610,306
21ohKsJQA1g,I Tasted The World’s Most EXOTIC Meats,2024-12-12,Short,1M49S,109,9515986,629029,9657
-LCnCFHbbd8,How to slice every type of steak…,2024-12-11,Short,1M16S,76,1048881,64507,169
Jgw-HUH55ys,Pork Chop Accordion,2024-12-10,Short,45S,45,1054803,85448,505
68GyW48XoEU,Dry Aged Camel,2024-12-06,Short,33S,33,2685549,158963,1111
_I8OQEtRNEc,Buffalo Chicken Mac and Cheese,2024-12-04,Short,44S,44,818648,76615,325
O2E3ZIUho04,7 Day Honey Cured Steak,2024-12-03,Short,32S,32,72378655,3979521,10940
AiijhzdSj5Y,30 Tacos in 30 Hours,2024-12-01,Short,1M,60,1413193,96018,344
xGPQ2c1v5CI,Jalapeño Popper Pork Belly Accordion,2024-11-27,Short,54S,54,1567007,132654,723
2X0eMqOzyHE,The Perfect Thanksgiving Turkey,2024-11-26,Short,1M,60,1852133,120556,605
VG8fgE1e5_g,How to Carve a Turkey,2024-11-25,Short,36S,36,3827271,280384,446
mOug1POqBHY,Parm Wheel Dry Aged Steak,2024-11-25,Short,53S,53,7161741,498721,1575
cauLrvx8-Ew,The World’s Crispiest Turkey,2024-11-24,Short,46S,46,5844024,384818,877
vpJIT3m1wik,Prime Rib Pho,2024-11-23,Short,48S,48,581466,54289,440
r1KO1sWLU4M,Why is this sandwich soggy...,2024-10-30,Short,32S,32,955116,69751,506
lSxNFw5muOk,Monte Cristo Big Mac,2024-10-23,Short,41S,41,2317121,123924,972
34klRJM77Wk,$200 Zebra Steak,2024-10-21,Short,27S,27,5036804,284584,2752
3stVLdXiAjw,Truffle Parm Beef Hump,2024-10-18,Short,49S,49,993695,69734,341
aQWn6QSUshY,"Forging The World’s Rarest Knife ($50,000)",2024-10-14,Short,45S,45,12396573,658781,5173
s8VNFro4k3c,Salmon Pastrami (game changer),2024-10-11,Short,21S,21,3494206,177403,400
ZPtCLU9rVvg,"Harvesting 3,000 lbs of Axis Deer",2024-10-09,Short,38S,38,2573848,119927,1043
c11YyI2PFVg,Steak School: T-Bone,2024-10-04,Short,41S,41,2190748,114384,342
eIwOI0XLCTk,Car Cooking: Max vs Costco Hot Dog,2024-09-27,Short,52S,52,4487608,351870,1082
gNGn90gVozA,Chimichurri Stuffed Chicken,2024-09-25,Short,34S,34,898904,60366,199
Owxl9dQxqis,"$2,500 Lobster Gnocchi",2024-09-22,Short,48S,48,9783163,632781,2853
xqBQVqqCGY4,Is this the perfect bite?,2024-09-18,Short,10S,10,5266767,280817,947
0bQ8whf9Bu0,Best “it’s raw” comment wins (tomahawk BLT),2024-09-11,Short,14S,14,8835350,437057,8680
E0QYtD8DZ_c,Wagyu A5 vs 2500° Forge,2024-08-26,Short,44S,44,11552393,657551,1222
Zc0qKEfzKQo,Live Fire Pork Belly Accordion,2024-08-19,Short,45S,45,5296508,312937,866
ZEh-qvsG3AE,Porchetta Roasted in Chimichurri Salt,2024-08-16,Short,48S,48,3742378,174907,791
Xg5eyXFgmJo,"$1 vs $5,000 Mac and Cheese",2024-08-13,Short,1M,60,79409725,3593414,11758
pdp8epfX7jk,Larry the Lobster Boil,2024-08-05,Short,53S,53,2539527,198001,1197
EI__pA1Rm2o,3 Levels of Duck...,2024-07-31,Short,44S,44,2632937,195933,572
t2viyjJFNPA,If you find yourself with a whole salmon...,2024-07-26,Short,36S,36,3866495,242677,1122
GfAf194V0KM,Doctor said I need to eat more vegetables...,2024-07-19,Short,24S,24,10119364,616941,3461
6JtLxCszFsE,"$3,000 Wagyu A5 Meat Tower",2024-07-10,Short,28S,28,3846171,242461,1214
V0gUMXDDD0Q,I almost burned down my neighborhood...,2024-07-06,Short,56S,56,652501,49618,248
k6PclBMD--E,Whole Salmon BURIED in Citrus Salt,2024-07-03,Short,45S,45,7624937,581601,1302
gR8HUkMWF3o,I took over a butcher shop for a day...,2024-06-29,Short,51S,51,941855,68964,252
S_qPNUVQd44,Bacon makes EVERYTHING Better,2024-06-28,Short,41S,41,1703724,110985,526
qe9ao1BBhfI,Deep Fried Dry-Aged Peking Duck,2024-06-25,Short,48S,48,1835911,140459,386
czPMeUtkQ-8,$250 Wagyu A5 Slim Jim,2024-06-20,Short,39S,39,3709919,261181,640
JOoM3Qis_1U,Don't watch if you hate butter and bacon...,2024-06-15,Short,47S,47,10089460,479952,1913
L5y_cvweBgQ,"$2,000 Wagyu Parm Pasta",2024-05-30,Short,36S,36,84511118,3232536,13216
kwfqjt-XBH8,Cooking a Frozen Brisket,2024-05-26,Short,42S,42,1258069,101702,272
YW_YtcieURY,Double Crunchwrap Cheeseburger,2024-05-22,Short,34S,34,2137401,153701,773
7z3WaCmKmWA,Max vs Salt Bae (I disowned my sister),2024-05-17,Short,29S,29,1868142,118039,416
U-IheOyI82U,"The Steak Review: Salt Bae ($1,000 tomahawk)",2024-05-15,Short,42S,42,3346882,190261,1283
uTpUh1iOcgQ,Everything I ate in Hawaii (While harvesting invasive species),2024-05-10,Short,58S,58,932611,66154,494
GQk9dJmLxXg,I Turned Steak Into Bread,2024-05-01,Short,32S,32,9409767,577686,1678
5_tuvX5ZqKk,Do you think he'll approve?,2024-05-01,Short,36S,36,2529984,174697,952
NvG2yteNJeo,Does it Deep Fry? Beef Short Ribs,2024-04-30,Short,28S,28,1758116,135415,266
t6b4kl2jn5s,Thor’s hammer cooked in fire salt…,2024-04-28,Short,1M,60,27048704,1447379,4162
5o9tKN4r8D8,The World's Biggest Salmon Chip…,2024-04-27,Short,59S,59,5039061,350415,1008
u79myUBKyjA,Day in the life at a beef jerky factory,2024-04-25,Short,58S,58,1325404,92187,302
XUP2UX-Ghsg,Flying with frozen meat...,2024-04-19,Short,45S,45,6078920,409852,751
vGDWdPipx6g,Cheap Wagyu A5 vs Expensive Grass-fed,2024-04-10,Short,30S,30,4923990,295475,644
Qf0bKgn5zvg,Cooking for Friends (Fantasy Football Edition),2024-04-02,Short,53S,53,5365551,343929,870
kBF-QMtCdsY,Peking Brisket,2024-04-01,Short,49S,49,1037245,70735,256
KbXElPzIW7g,Tomahawk Biggie Mac @albert_cancook,2024-03-18,Short,31S,31,7143259,428990,1168
BxqTHHAAmkQ,The most important meeting of my life…,2024-03-12,Short,1M,60,2041189,153574,407
8Wofo0Pyt4o,Crème Brûlée Pork Belly Burnt Ends,2024-03-04,Short,46S,46,9245235,383283,1837
whs9OexwT5o,“Well Done” Wagyu A5 😳,2024-02-29,Short,36S,36,3817783,254386,1373
MO1u9sjNlio,What should I call this?,2024-02-28,Short,9S,9,1947206,80275,2971
p0nwjMREcTs,A special batch of jerky…,2024-02-25,Short,26S,26,3585834,167921,1129
NGrLLf_QMGc,Deep Fried Pork Belly Accordion,2024-02-22,Short,22S,22,2128420,120251,551
reUbPP1a0_c,30 Day Dry Aged Buffalo Brisket,2024-02-20,Short,53S,53,6971105,459116,580
AQJFGq1DEfY,I caught her cheating on Valentine's Day...,2024-02-14,Short,45S,45,22225607,1159665,6088
KxM-5_FqIBM,This was actually raw...,2024-02-13,Short,28S,28,3139496,171220,1605
PEbdJgWoZ8w,Impress your valentine with…,2024-02-11,Short,29S,29,5444579,399165,1403
seEcFZGgtek,Crispy Skin Buffalo Chicken Dip,2024-02-08,Short,45S,45,4129599,314262,762
LZwkkuEedDM,World's biggest corn dog… meat sticks live at maxjerky.com!,2024-02-06,Short,22S,22,7163943,173850,1104
LhcdE6mJWX4,She asked me to catch a fish...,2024-02-04,Short,26S,26,1639750,90466,534
O4ho8IOpmas,Mango Habanero Pork Belly Twists,2024-02-01,Short,24S,24,1364897,82927,245
3eGqirz2P7Y,Best “juicy” comment wins...,2024-01-25,Short,9S,9,2717356,118917,4955
0_SdRI7NdMw,Homemade Wagyu A5,2024-01-24,Short,36S,36,3284796,217363,705
5HYPRF8ZPqQ,Cooking a Prime Rib in 10lb of MSG,2024-01-12,Short,54S,54,6816526,476410,3388
T33JUBAig3c,NYE King Crab Round 2,2024-01-08,Short,1M,60,11906423,738980,3102
n_-5Tob_EJQ,24k Gold Dry Aged Ribeye,2023-12-31,Short,47S,47,1621362,100733,552
Wg3-dP4UGcE,My Brothers Industrial Bakery,2023-12-27,Short,54S,54,4013347,283390,641
IwCzubRup54,Chili Crisp Injected & Dry Aged Ribeye,2023-12-19,Short,34S,34,5403297,320685,603
ExQrrKffaK8,Deep Fried Prime Rib,2023-12-18,Short,34S,34,2014056,122763,395
Jg5yjQrY-t8,Not Your Average Chicken Bacon Ranch,2023-12-16,Short,19S,19,2933893,176342,555
Cq-qGAcChRM,Steak & Happy Potatoes,2023-12-16,Short,36S,36,3576099,245118,788
pYwoOxWndls,Car Cooking: Wagyu A5 Big Mac @itsQCP,2023-12-13,Short,40S,40,12298905,722128,882
PgW60Xw7f60,The Perfect Prime Rib,2023-12-11,Short,46S,46,912940,66379,545
cC2d8zjCZPA,The Pizzaball Sub,2023-12-07,Short,36S,36,648480,42564,326
GvWa-N_IWIE,I accidentally made pink short ribs…,2023-12-03,Short,42S,42,2732205,182326,529
JX0_STmuigQ,I Marinated Short Ribs for 10 Days...,2023-11-28,Short,47S,47,2213796,162418,415
8eCovKu12h4,What I ate in China,2023-11-26,Short,51S,51,4474837,319012,1152
MchzmS7qu7A,Wagyu A5 Steak Accordion,2023-11-24,Short,1M,60,4809327,321896,947
xNMTeHu8R8w,Deep Fried Turkey,2023-11-19,Short,36S,36,7847370,509786,1166
jpqMxSKk1BQ,How to Smoke Meat INDOORS,2023-11-16,Short,33S,33,7743682,507852,2074
0owVfqYgaJg,Beef vs Tofu,2023-11-11,Short,20S,20,6619868,412306,3970
z9hiA5fhCOU,The worst cooking appliance of all time...,2023-11-10,Short,14S,14,5924474,390221,1310
GWDUG2UnSjw,A Plate of Bacon (literally),2023-11-04,Short,29S,29,6339008,356127,1242
v5SdCKWQM3I,Cooking Brisket in 10lbs of Salt,2023-11-01,Short,1M,60,25561052,1367378,4738
FoEfFtdwEgc,The Cheapest Wagyu A5 I Could Find...,2023-10-27,Short,38S,38,4748520,287909,679
_LmRrKu401s,Filet mignon... like a brisket?,2023-10-24,Short,49S,49,11927997,634241,1778
Twk0OmkN2gE,A peace offering...,2023-10-20,Short,1M,60,13347055,895488,2477
X3ZfD7W1-cw,Is it Flatbread or Pizza?,2023-10-18,Short,49S,49,8882273,510318,2707
KRspJcpai-Y,When an old man gives you a chicken...,2023-10-10,Short,1M,60,2811279,225477,791
W9rsY4QG2NY,Don't Make Promises You Can't Keep...,2023-10-02,Short,1M,60,56268916,2624197,6367
avhcZ6Iuv2w,Wagyu Tallow Dry Aged Lamb Shoulder,2023-09-28,Short,52S,52,13945883,817081,2016
6ynfeCAzr0U,Garlic Confit Cowboy Butter,2023-09-20,Short,29S,29,4110982,307846,549
fztZ-oIXQMk,Chicharron Charcuterie Board,2023-09-11,Short,41S,41,14975597,850430,3371
wLyQXLeXdc8,McDonald’s Beef Jerky,2023-09-10,Short,35S,35,2794934,186629,568
WkMPySeHKGY,Rib Cap Wellington… Gordon’s not going to be happy,2023-09-02,Short,40S,40,1889021,126170,749
YYfB_R2TjLI,The World's Most Expensive Beef Jerky,2023-08-29,Short,37S,37,2804418,228744,969
