Video ID,Title,SOALAS Count,LAS Count,Applewood Count
KflDSgz4KIc,Jumbo Tomahawk for David Beckham,0,0,0
3tSvjeJZjGI,I Ranked the Best BBQ from EVERY Country,0,0,0
Q3QiyVSaPZE,I Challenged America’s Best Brisket,1,1,1
l1rAb8iNPcQ,Grinding Every Animal Into One Burger @NickDiGiovanni,0,0,0
pKuguDpmti4,I Cooked the World’s RAREST Steaks,0,0,1
gDfyZaujK6E,I Found Bacon in This Fish…,0,0,0
OU4S0FSZkoI,I Covered Lamb in Jam,1,1,1
P9NbFXKQo-8,Cowboy Butter Lobster Roll,0,0,0
Aw5vc8jGQCY,"$50 vs $300 vs $1,000 Brisket",0,0,0
sMtfXxOt-3o,Citrus Dry Aged Mahi Mahi,0,0,0
vzXULTmvWnk,I Cooked the World’s CRAZIEST Eggs,0,0,0
4UEzMoGvkXQ,"1,000 Garlic Clove Lamb Leg",0,1,0
vGx5zex1YCY,7 Day Caramel Soaked Ribs,1,1,1
lp_Q393jAfw,I Cooked 100lbs of Protein Pt 3,0,0,0
AByKJ0-wpEs,I Cooked A 70lb Cow Leg,0,0,1
ig1rlhB5h1Q,I stole a whole cow leg pt 1…,0,0,0
w4jDx6Wenjw,World’s WORST Tasting Tuna,0,0,0
QDBn3_WwbQo,If you find yourself with 20 lobsters…,0,0,0
d4Z4HnDTnSA,The Lobster Hot Dog,0,0,0
kGS_WfpU82Q,When steak put me in the hospital…,0,0,0
39-CvROyYUQ,7 Day Molasses Cured Tomahawk,1,1,1
UwfDi4tT5Og,Jalapeño Dry Aged Wagyu A5,0,0,0
jPTERm5G4vM,Deep Fried Prime Rib,1,1,1
OuM4JtRrIEI,Prime Rib Texas Toast Sandwich,0,1,0
5QuFBdoHReA,The Perfect Prime Rib,0,0,0
7ED6rGme02E,The Brisket Football (Cooked in Clay),1,1,1
zAu4PRyKbu0,Panda Express Ran Out of Chicken…,0,0,0
21ohKsJQA1g,I Tasted The World’s Most EXOTIC Meats,0,0,0
-LCnCFHbbd8,How to slice every type of steak…,0,0,0
Jgw-HUH55ys,Pork Chop Accordion,0,0,0
68GyW48XoEU,Dry Aged Camel,0,0,0
_I8OQEtRNEc,Buffalo Chicken Mac and Cheese,1,1,1
O2E3ZIUho04,7 Day Honey Cured Steak,0,0,1
AiijhzdSj5Y,30 Tacos in 30 Hours,0,0,0
xGPQ2c1v5CI,Jalapeño Popper Pork Belly Accordion,0,0,0
2X0eMqOzyHE,The Perfect Thanksgiving Turkey,0,0,0
VG8fgE1e5_g,How to Carve a Turkey,0,0,0
mOug1POqBHY,Parm Wheel Dry Aged Steak,0,0,0
cauLrvx8-Ew,The World’s Crispiest Turkey,0,1,0
vpJIT3m1wik,Prime Rib Pho,0,0,0
r1KO1sWLU4M,Why is this sandwich soggy...,0,1,0
lSxNFw5muOk,Monte Cristo Big Mac,0,0,0
34klRJM77Wk,$200 Zebra Steak,0,0,0
3stVLdXiAjw,Truffle Parm Beef Hump,0,0,0
aQWn6QSUshY,"Forging The World’s Rarest Knife ($50,000)",0,0,0
s8VNFro4k3c,Salmon Pastrami (game changer),0,0,0
ZPtCLU9rVvg,"Harvesting 3,000 lbs of Axis Deer",0,0,0
c11YyI2PFVg,Steak School: T-Bone,0,0,0
eIwOI0XLCTk,Car Cooking: Max vs Costco Hot Dog,0,0,0
gNGn90gVozA,Chimichurri Stuffed Chicken,0,0,0
Owxl9dQxqis,"$2,500 Lobster Gnocchi",0,0,0
xqBQVqqCGY4,Is this the perfect bite?,0,0,0
0bQ8whf9Bu0,Best “it’s raw” comment wins (tomahawk BLT),0,0,0
E0QYtD8DZ_c,Wagyu A5 vs 2500° Forge,0,0,0
Zc0qKEfzKQo,Live Fire Pork Belly Accordion,0,0,0
ZEh-qvsG3AE,Porchetta Roasted in Chimichurri Salt,0,0,0
Xg5eyXFgmJo,"$1 vs $5,000 Mac and Cheese",0,0,0
pdp8epfX7jk,Larry the Lobster Boil,0,0,0
EI__pA1Rm2o,3 Levels of Duck...,0,0,0
t2viyjJFNPA,If you find yourself with a whole salmon...,0,0,0
GfAf194V0KM,Doctor said I need to eat more vegetables...,0,0,0
6JtLxCszFsE,"$3,000 Wagyu A5 Meat Tower",0,0,0
V0gUMXDDD0Q,I almost burned down my neighborhood...,0,0,0
k6PclBMD--E,Whole Salmon BURIED in Citrus Salt,0,0,0
gR8HUkMWF3o,I took over a butcher shop for a day...,0,0,0
S_qPNUVQd44,Bacon makes EVERYTHING Better,0,0,0
qe9ao1BBhfI,Deep Fried Dry-Aged Peking Duck,0,0,0
czPMeUtkQ-8,$250 Wagyu A5 Slim Jim,1,1,1
JOoM3Qis_1U,Don't watch if you hate butter and bacon...,0,0,0
L5y_cvweBgQ,"$2,000 Wagyu Parm Pasta",0,0,0
kwfqjt-XBH8,Cooking a Frozen Brisket,0,1,0
YW_YtcieURY,Double Crunchwrap Cheeseburger,0,0,0
7z3WaCmKmWA,Max vs Salt Bae (I disowned my sister),0,0,0
U-IheOyI82U,"The Steak Review: Salt Bae ($1,000 tomahawk)",0,0,0
uTpUh1iOcgQ,Everything I ate in Hawaii (While harvesting invasive species),0,0,0
GQk9dJmLxXg,I Turned Steak Into Bread,0,0,0
5_tuvX5ZqKk,Do you think he'll approve?,0,0,0
NvG2yteNJeo,Does it Deep Fry? Beef Short Ribs,1,1,1
t6b4kl2jn5s,Thor’s hammer cooked in fire salt…,0,1,0
5o9tKN4r8D8,The World's Biggest Salmon Chip…,0,1,0
u79myUBKyjA,Day in the life at a beef jerky factory,0,0,0
XUP2UX-Ghsg,Flying with frozen meat...,0,0,0
vGDWdPipx6g,Cheap Wagyu A5 vs Expensive Grass-fed,0,0,0
Qf0bKgn5zvg,Cooking for Friends (Fantasy Football Edition),0,0,0
kBF-QMtCdsY,Peking Brisket,0,0,0
KbXElPzIW7g,Tomahawk Biggie Mac @albert_cancook,0,0,0
BxqTHHAAmkQ,The most important meeting of my life…,0,0,0
8Wofo0Pyt4o,Crème Brûlée Pork Belly Burnt Ends,0,1,0
whs9OexwT5o,“Well Done” Wagyu A5 😳,0,0,0
MO1u9sjNlio,What should I call this?,0,0,0
p0nwjMREcTs,A special batch of jerky…,0,0,0
NGrLLf_QMGc,Deep Fried Pork Belly Accordion,0,0,0
reUbPP1a0_c,30 Day Dry Aged Buffalo Brisket,0,0,0
AQJFGq1DEfY,I caught her cheating on Valentine's Day...,0,0,0
KxM-5_FqIBM,This was actually raw...,0,0,0
PEbdJgWoZ8w,Impress your valentine with…,0,0,0
seEcFZGgtek,Crispy Skin Buffalo Chicken Dip,1,1,1
LZwkkuEedDM,World's biggest corn dog… meat sticks live at maxjerky.com!,0,0,0
LhcdE6mJWX4,She asked me to catch a fish...,0,0,0
