Video ID,Title,Upload Date,Raw Duration,Duration in S,View Count,Like Count,Comment Count
Q3QiyVSaPZE,I Challenged America’s Best Brisket,2025-04-22,1M,60,2783739,125349,566
l1rAb8iNPcQ,Grinding Every Animal Into One Burger @NickDiGiovanni,2025-04-21,26S,26,5644344,181880,1723
gDfyZaujK6E,I Found Bacon in This Fish…,2025-03-26,36S,36,6734535,315580,899
OU4S0FSZkoI,I Covered Lamb in Jam,2025-03-24,32S,32,633990,43135,289
P9NbFXKQo-8,Cowboy Butter Lobster Roll,2025-03-19,40S,40,994163,65333,385
Aw5vc8jGQCY,"$50 vs $300 vs $1,000 Brisket",2025-03-13,1M6S,66,18813337,779559,2654
sMtfXxOt-3o,Citrus Dry Aged Mahi Mahi,2025-03-04,50S,50,2002539,146032,645
4UEzMoGvkXQ,"1,000 Garlic Clove Lamb Leg",2025-02-19,34S,34,3790957,239150,1080
vGx5zex1YCY,7 Day Caramel Soaked Ribs,2025-02-19,31S,31,1274003,96224,350
lp_Q393jAfw,I Cooked 100lbs of Protein Pt 3,2025-02-13,1M,60,1247113,91631,507
AByKJ0-wpEs,I Cooked A 70lb Cow Leg,2025-02-12,1M1S,61,3815503,241902,779
ig1rlhB5h1Q,I stole a whole cow leg pt 1…,2025-02-11,44S,44,3259614,169685,205
w4jDx6Wenjw,World’s WORST Tasting Tuna,2025-02-10,47S,47,3033211,155305,1235
QDBn3_WwbQo,If you find yourself with 20 lobsters…,2025-02-02,31S,31,4587066,330541,2510
d4Z4HnDTnSA,The Lobster Hot Dog,2025-01-24,37S,37,1321333,117849,500
kGS_WfpU82Q,When steak put me in the hospital…,2025-01-14,1M1S,61,6537509,490078,1280
39-CvROyYUQ,7 Day Molasses Cured Tomahawk,2025-01-13,41S,41,1940151,143599,507
UwfDi4tT5Og,Jalapeño Dry Aged Wagyu A5,2024-12-28,1M3S,63,3150661,203128,798
jPTERm5G4vM,Deep Fried Prime Rib,2024-12-24,34S,34,1577771,111587,325
OuM4JtRrIEI,Prime Rib Texas Toast Sandwich,2024-12-20,43S,43,795260,72843,204
5QuFBdoHReA,The Perfect Prime Rib,2024-12-17,1M11S,71,1734811,105754,597
7ED6rGme02E,The Brisket Football (Cooked in Clay),2024-12-16,1M4S,64,19212021,1153473,2601
zAu4PRyKbu0,Panda Express Ran Out of Chicken…,2024-12-13,33S,33,687326,55484,306
21ohKsJQA1g,I Tasted The World’s Most EXOTIC Meats,2024-12-12,1M49S,109,9408656,623905,9575
-LCnCFHbbd8,How to slice every type of steak…,2024-12-11,1M16S,76,1025410,63751,169
Jgw-HUH55ys,Pork Chop Accordion,2024-12-10,45S,45,1049545,85300,505
68GyW48XoEU,Dry Aged Camel,2024-12-06,33S,33,2662323,158389,1109
_I8OQEtRNEc,Buffalo Chicken Mac and Cheese,2024-12-04,44S,44,813710,76450,324
O2E3ZIUho04,7 Day Honey Cured Steak,2024-12-03,32S,32,71474332,3952338,10898
AiijhzdSj5Y,30 Tacos in 30 Hours,2024-12-01,1M,60,1409497,95923,344
xGPQ2c1v5CI,Jalapeño Popper Pork Belly Accordion,2024-11-27,54S,54,1562322,132552,724
2X0eMqOzyHE,The Perfect Thanksgiving Turkey,2024-11-26,1M,60,1837002,119982,605
VG8fgE1e5_g,How to Carve a Turkey,2024-11-25,36S,36,3815419,280130,445
mOug1POqBHY,Parm Wheel Dry Aged Steak,2024-11-25,53S,53,7036160,493955,1550
cauLrvx8-Ew,The World’s Crispiest Turkey,2024-11-24,46S,46,5828178,384438,879
vpJIT3m1wik,Prime Rib Pho,2024-11-23,48S,48,579195,54240,440
r1KO1sWLU4M,Why is this sandwich soggy...,2024-10-30,32S,32,947682,69572,507
lSxNFw5muOk,Monte Cristo Big Mac,2024-10-23,41S,41,2307765,123734,972
34klRJM77Wk,$200 Zebra Steak,2024-10-21,27S,27,5001101,283748,2744
3stVLdXiAjw,Truffle Parm Beef Hump,2024-10-18,49S,49,986012,69489,339
aQWn6QSUshY,"Forging The World’s Rarest Knife ($50,000)",2024-10-14,45S,45,12257078,656044,5150
s8VNFro4k3c,Salmon Pastrami (game changer),2024-10-11,21S,21,3484217,177197,399
ZPtCLU9rVvg,"Harvesting 3,000 lbs of Axis Deer",2024-10-09,38S,38,2569428,119843,1041
c11YyI2PFVg,Steak School: T-Bone,2024-10-04,41S,41,2169960,113974,342
eIwOI0XLCTk,Car Cooking: Max vs Costco Hot Dog,2024-09-27,52S,52,4449184,350916,1080
gNGn90gVozA,Chimichurri Stuffed Chicken,2024-09-25,34S,34,897092,60338,199
Owxl9dQxqis,"$2,500 Lobster Gnocchi",2024-09-22,48S,48,9778457,632752,2855
xqBQVqqCGY4,Is this the perfect bite?,2024-09-18,10S,10,5253246,280695,948
0bQ8whf9Bu0,Best “it’s raw” comment wins (tomahawk BLT),2024-09-11,14S,14,8684695,434482,8611
E0QYtD8DZ_c,Wagyu A5 vs 2500° Forge,2024-08-26,44S,44,11532702,657217,1223
Zc0qKEfzKQo,Live Fire Pork Belly Accordion,2024-08-19,45S,45,5294444,312937,866
ZEh-qvsG3AE,Porchetta Roasted in Chimichurri Salt,2024-08-16,48S,48,3740617,174900,791
Xg5eyXFgmJo,"$1 vs $5,000 Mac and Cheese",2024-08-13,1M,60,78845430,3584297,11712
pdp8epfX7jk,Larry the Lobster Boil,2024-08-05,53S,53,2532590,197800,1195
EI__pA1Rm2o,3 Levels of Duck...,2024-07-31,44S,44,2619974,195623,572
t2viyjJFNPA,If you find yourself with a whole salmon...,2024-07-26,36S,36,3846270,242253,1117
GfAf194V0KM,Doctor said I need to eat more vegetables...,2024-07-19,24S,24,9976667,613630,3444
6JtLxCszFsE,"$3,000 Wagyu A5 Meat Tower",2024-07-10,28S,28,3795428,241446,1213
V0gUMXDDD0Q,I almost burned down my neighborhood...,2024-07-06,56S,56,650329,49568,248
k6PclBMD--E,Whole Salmon BURIED in Citrus Salt,2024-07-03,45S,45,7612778,581334,1302
gR8HUkMWF3o,I took over a butcher shop for a day...,2024-06-29,51S,51,940726,68949,252
S_qPNUVQd44,Bacon makes EVERYTHING Better,2024-06-28,41S,41,1701986,110975,525
qe9ao1BBhfI,Deep Fried Dry-Aged Peking Duck,2024-06-25,48S,48,1832747,140391,385
czPMeUtkQ-8,$250 Wagyu A5 Slim Jim,2024-06-20,39S,39,3688873,260746,640
JOoM3Qis_1U,Don't watch if you hate butter and bacon...,2024-06-15,47S,47,10061466,479600,1913
L5y_cvweBgQ,"$2,000 Wagyu Parm Pasta",2024-05-30,36S,36,84277804,3229332,13198
kwfqjt-XBH8,Cooking a Frozen Brisket,2024-05-26,42S,42,1256975,101696,272
YW_YtcieURY,Double Crunchwrap Cheeseburger,2024-05-22,34S,34,2126554,153532,775
7z3WaCmKmWA,Max vs Salt Bae (I disowned my sister),2024-05-17,29S,29,1852457,117678,416
U-IheOyI82U,"The Steak Review: Salt Bae ($1,000 tomahawk)",2024-05-15,42S,42,3336319,190067,1281
uTpUh1iOcgQ,Everything I ate in Hawaii (While harvesting invasive species),2024-05-10,58S,58,930388,66090,494
GQk9dJmLxXg,I Turned Steak Into Bread,2024-05-01,32S,32,9361521,576683,1674
5_tuvX5ZqKk,Do you think he'll approve?,2024-05-01,36S,36,2528789,174707,952
NvG2yteNJeo,Does it Deep Fry? Beef Short Ribs,2024-04-30,28S,28,1740700,135039,266
t6b4kl2jn5s,Thor’s hammer cooked in fire salt…,2024-04-28,1M,60,26913435,1443832,4138
5o9tKN4r8D8,The World's Biggest Salmon Chip…,2024-04-27,59S,59,5029790,350225,1008
u79myUBKyjA,Day in the life at a beef jerky factory,2024-04-25,58S,58,1323380,92154,302
XUP2UX-Ghsg,Flying with frozen meat...,2024-04-19,45S,45,6061507,409520,752
vGDWdPipx6g,Cheap Wagyu A5 vs Expensive Grass-fed,2024-04-10,30S,30,4900411,295093,640
Qf0bKgn5zvg,Cooking for Friends (Fantasy Football Edition),2024-04-02,53S,53,5345296,343524,866
